MaterialID,DefaultReceiptLocation,DefaultIssueLocation
1635,SZ1,SZ1
1645,SZ1,SZ1
1719,SZ1,SZ1
3959,SZ1,SZ1
2143,SZ1,SZ1
1646,SZ1,SZ1
2211,SZ1,SZ1
1638,SZ1,SZ1
4203,SZ1,SZ1
2161,SZ1,SZ1
3960,SZ1,SZ1
1647,SZ1,SZ1
1640,SZ1,SZ1
3781,SZ1,SZ1
1639,SZ1,SZ1
1637,SZ1,SZ1
2168,SZ1,SZ1
2167,SZ1,SZ1
1642,SZ1,SZ1
1641,SZ1,SZ1
1644,SZ1,SZ1
1643,SZ1,SZ1
1651,SZ1,SZ1
1654,SZ1,SZ1
1653,SZ1,SZ1
1649,SZ1,SZ1
1737,SZ1,SZ1
4075,SZ1,SZ1
1650,SZ1,SZ1
1778,SZ1,SZ1
4120,SZ1,SZ1
4121,SZ1,SZ1
4122,SZ1,SZ1
1095,SZ1,SZ1
3930,SZ1,SZ1
3929,SZ1,SZ1
1278,SZ1,SZ1
1284,SZ1,SZ1
1286,SZ1,SZ1
1282,SZ1,SZ1
3774,SZ1,SZ1
3838,SZ1,SZ1
2258,SZ1,SZ1
4105,SZ1,SZ1
4167,SZ1,SZ1
1288,SZ1,SZ1
2226,SZ1,SZ1
2249,SZ1,SZ1
3695,SZ1,SZ1
2259,SZ1,SZ1
4104,SZ1,SZ1
1318,SZ1,SZ1
1290,SZ1,SZ1
1299,SZ1,SZ1
1281,SZ1,SZ1
2118,SZ1,SZ1
4143,SZ1,SZ1
1830,SZ1,SZ1
2538,SZ1,SZ1
4160,SZ1,SZ1
2485,SZ1,SZ1
1312,SZ1,SZ1
3736,SZ1,SZ1
3764,SZ1,SZ1
3737,SZ1,SZ1
1314,SZ1,SZ1
1321,SZ1,SZ1
3714,SZ1,SZ1
1831,SZ1,SZ1
4106,SZ1,SZ1
4168,SZ1,SZ1
1856,SZ1,SZ1
1855,SZ1,SZ1
1860,SZ1,SZ1
1857,SZ1,SZ1
1859,SZ1,SZ1
1852,SZ1,SZ1
1828,SZ1,SZ1
1853,SZ1,SZ1
1833,SZ1,SZ1
1854,SZ1,SZ1
1826,SZ1,SZ1
1835,SZ1,SZ1
1827,SZ1,SZ1
1832,SZ1,SZ1
2119,SZ1,SZ1
1858,SZ1,SZ1
4159,SZ1,SZ1
4158,SZ1,SZ1
3696,SZ1,SZ1
2263,SZ1,SZ1
4157,SZ1,SZ1
1300,SZ1,SZ1
1743,SZ1,SZ1
2164,SZ1,SZ1
1296,SZ1,SZ1
4142,SZ1,SZ1
1712,SZ1,SZ1
1301,SZ1,SZ1
1307,SZ1,SZ1
4094,SZ1,SZ1
4095,SZ1,SZ1
2536,SZ1,SZ1
4156,SZ1,SZ1
2264,SZ1,SZ1
4166,SZ1,SZ1
2165,SZ1,SZ1
1741,SZ1,SZ1
2537,SZ1,SZ1
4155,SZ1,SZ1
2662,SZ1,SZ1
2652,SZ1,SZ1
4117,SZ1,SZ1
1322,SZ1,SZ1
3732,SZ1,SZ1
3984,SZ1,SZ1
1735,SZ1,SZ1
1311,SZ1,SZ1
4097,SZ1,SZ1
4093,SZ1,SZ1
2598,SZ1,SZ1
4154,SZ1,SZ1
1319,SZ1,SZ1
2522,SZ1,SZ1
1306,SZ1,SZ1
1744,SZ1,SZ1
1694,SZ1,SZ1
3697,SZ1,SZ1
4092,SZ1,SZ1
2523,SZ1,SZ1
1320,SZ1,SZ1
4006,SZ1,SZ1
1713,SZ1,SZ1
1316,SZ1,SZ1
2265,SZ1,SZ1
3985,SZ1,SZ1
4091,SZ1,SZ1
1308,SZ1,SZ1
2664,SZ1,SZ1
1315,SZ1,SZ1
4144,SZ1,SZ1
1304,SZ1,SZ1
2599,SZ1,SZ1
2539,SZ1,SZ1
4145,SZ1,SZ1
1313,SZ1,SZ1
3733,SZ1,SZ1
2540,SZ1,SZ1
1317,SZ1,SZ1
4096,SZ1,SZ1
1324,SZ1,SZ1
2266,SZ1,SZ1
4153,SZ1,SZ1
2541,SZ1,SZ1
1734,SZ1,SZ1
1327,SZ1,SZ1
4140,SZ1,SZ1
1682,SZ1,SZ1
2460,SZ1,SZ1
2445,SZ1,SZ1
1303,SZ1,SZ1
4130,SZ1,SZ1
2663,SZ1,SZ1
2302,SZ1,SZ1
1289,SZ1,SZ1
2154,SZ1,SZ1
3861,SZ1,SZ1
2432,SZ1,SZ1
1295,SZ1,SZ1
2433,SZ1,SZ1
2431,SZ1,SZ1
1285,SZ1,SZ1
1287,SZ1,SZ1
1082,SZ1,SZ1
4087,SZ1,SZ1
1297,SZ1,SZ1
1083,SZ1,SZ1
1298,SZ1,SZ1
1676,SZ1,SZ1
2147,SZ1,SZ1
1338,SZ1,SZ1
3905,SZ1,SZ1
1291,SZ1,SZ1
1294,SZ1,SZ1
2292,SZ1,SZ1
1339,SZ1,SZ1
1084,SZ1,SZ1
1624,SZ1,SZ1
2322,SZ1,SZ1
2592,SZ1,SZ1
2579,SZ1,SZ1
4069,SZ1,SZ1
1280,SZ1,SZ1
4199,SZ1,SZ1
1292,SZ1,SZ1
2434,SZ1,SZ1
1309,SZ1,SZ1
2615,SZ1,SZ1
2452,SZ1,SZ1
2583,SZ1,SZ1
3865,SZ1,SZ1
2582,SZ1,SZ1
2584,SZ1,SZ1
4072,SZ1,SZ1
2568,SZ1,SZ1
2566,SZ1,SZ1
2560,SZ1,SZ1
4031,SZ1,SZ1
3994,SZ1,SZ1
2392,SZ1,SZ1
1283,SZ1,SZ1
4020,SZ1,SZ1
3989,SZ1,SZ1
2155,SZ1,SZ1
2146,SZ1,SZ1
1329,SZ1,SZ1
1310,SZ1,SZ1
1332,SZ1,SZ1
1323,SZ1,SZ1
3745,SZ1,SZ1
1279,SZ1,SZ1
3978,SZ1,SZ1
1325,SZ1,SZ1
1277,SZ1,SZ1
1326,SZ1,SZ1
1336,SZ1,SZ1
1302,SZ1,SZ1
2512,SZ1,SZ1
1330,SZ1,SZ1
1333,SZ1,SZ1
3908,SZ1,SZ1
2718,SZ1,SZ1
1305,SZ1,SZ1
4073,SZ1,SZ1
2193,SZ1,SZ1
1328,SZ1,SZ1
2394,SZ1,SZ1
3849,SZ1,SZ1
1334,SZ1,SZ1
1293,SZ1,SZ1
1331,SZ1,SZ1
1337,SZ1,SZ1
1736,SZ1,SZ1
2442,SZ1,SZ1
2441,SZ1,SZ1
3852,SZ1,SZ1
1096,SZ1,SZ1
1335,SZ1,SZ1
2517,SZ1,SZ1
2551,SZ1,SZ1
2502,SZ1,SZ1
2362,SZ1,SZ1
1753,SZ1,SZ1
1754,SZ1,SZ1
1829,SZ1,SZ1
1742,SZ1,SZ1
2585,SZ1,SZ1
3689,SZ1,SZ1
2443,SZ1,SZ1
2444,SZ1,SZ1
1750,SZ1,SZ1
2550,SZ1,SZ1
2455,SZ1,SZ1
2492,SZ1,SZ1
2552,SZ1,SZ1
1740,SZ1,SZ1
2157,SZ1,SZ1
2275,SZ1,SZ1
2381,SZ1,SZ1
2380,SZ1,SZ1
2330,SZ1,SZ1
4148,SZ1,SZ1
4147,SZ1,SZ1
4146,SZ1,SZ1
1681,SZ1,SZ1
2720,SZ1,SZ1
2182,SZ1,SZ1
1772,L1,L1
3903,L1,L1
3904,L1,L1
3902,L1,L1
2356,L1,L1
2357,L1,L1
2390,L1,L1
2391,L1,L1
2191,L1,L1
2239,L1,L1
2602,L1,L1
2189,L1,L1
1773,L1,L1
2543,L1,L1
1843,L1,L1
2201,L1,L1
2544,L1,L1
1693,L1,L1
1880,L1,L1
2622,L1,L1
3742,L1,L1
2200,L1,L1
2621,L1,L1
4116,L1,L1
3851,L1,L1
4123,L1,L1
3725,L1,L1
3727,L1,L1
3726,L1,L1
4124,L1,L1
3728,L1,L1
4048,L1,L1
4043,L1,L1
4042,L1,L1
4066,L1,L1
4057,L1,L1
4110,L1,L1
4184,L1,L1
4054,L1,L1
4051,L1,L1
4206,L1,L1
4047,L1,L1
4064,L1,L1
4185,L1,L1
4053,L1,L1
4041,L1,L1
4058,L1,L1
4061,L1,L1
4060,L1,L1
4038,L1,L1
4186,L1,L1
2700,L1,L1
4063,L1,L1
4046,L1,L1
3864,L1,L1
4040,L1,L1
4052,L1,L1
4044,L1,L1
4050,L1,L1
2699,L1,L1
4062,L1,L1
4183,L1,L1
4045,L1,L1
4065,L1,L1
4049,L1,L1
4059,L1,L1
2549,L1,L1
4039,L1,L1
4187,L1,L1
4056,L1,L1
2667,L1,L1
2665,L1,L1
1749,L1,L1
1688,L1,L1
4067,L1,L1
4055,L1,L1
4152,L1,L1
4201,L1,L1
4202,L1,L1
4083,L1,L1
4086,L1,L1
2666,L1,L1
4085,L1,L1
4084,L1,L1
3730,L1,L1
3731,L1,L1
3993,L1,L1
3850,L1,L1
4182,L1,L1
3837,L1,L1
3836,L1,L1
3835,L1,L1
3834,L1,L1
3833,L1,L1
3944,L1,L1
1733,L1,L1
2447,L1,L1
3891,L1,L1
1732,L1,L1
4115,L1,L1
3991,L1,L1
3990,L1,L1
3845,L1,L1
3992,L1,L1
3840,L1,L1
3841,L1,L1
3842,L1,L1
2636,L1,L1
3844,L1,L1
3843,L1,L1
